actual_close,predicted_close,error,percent_error
41.78,42.61204,-0.8320414733886707,-1.9914827031801596
83.18,79.71053,3.469466857910163,4.171034933770333
69.78,71.59287,-1.8128726196289051,-2.5979831178402195
41.419999999999995,40.37822,1.041780395507807,2.5151627124765987
69.41,66.96578,2.444217834472653,3.5214203061124523
53.51,54.057587,-0.547586669921877,-1.0233352082262699
35.76,37.35445,-1.5944502258300801,-4.4587534279364665
64.93,64.60536,0.3246380615234443,0.4999816133119425
31.58,33.63535,-2.0553492736816423,-6.508389087022301
48.14,47.083244,1.0567556762695318,2.1951717413160194
56.21,57.49769,-1.2876882934570304,-2.290852683609732
43.52,43.434277,0.08572341918945625,0.19697476835812558
77.61,77.04938,0.5606225585937494,0.7223586633085292
34.4,35.53976,-1.1397605895996108,-3.3132575279058454
36.8,36.44461,0.35538940429687216,0.9657320768936745
45.150000000000006,45.476807,-0.3268066406249943,-0.723824231727562
84.87999999999998,83.56556,1.31444061279295,1.5485869613489047
50.07,50.085526,-0.015525512695312216,-0.03100761473000243
62.3,62.8649,-0.5648986816406278,-0.9067394568870432
43.2,43.80803,-0.6080291748046847,-1.4074749416775107
53.74,52.132095,1.6079046630859395,2.9920071884740223
62.74000000000001,62.516968,0.2230322265625091,0.3554864943616657
77.12,75.74687,1.373128051757817,1.7805083658685388
53.54,53.91293,-0.3729295349121102,-0.69654377084817
71.76,69.43456,2.3254373168945364,3.240575971146232
65.39,65.44908,-0.05908142089843693,-0.09035237941342243
55.95,55.004932,0.9450675964355497,1.6891288586873097
47.58,46.78594,0.7940617370605452,1.6688981443054756
40.58,41.5989,-1.0188998413085955,-2.510842388636263
31.96,34.777042,-2.8170423889160148,-8.81427530949942
47.27,47.33243,-0.0624317932128875,-0.1320748745777184
94.25999999999999,92.77706,1.4829385375976472,1.5732426666641708
46.23,46.447968,-0.21796752929687813,-0.4714850298439934
43.48,44.45742,-0.9774203491210969,-2.2479768839031666
65.48,65.65174,-0.17174102783202727,-0.2622801280269201
55.81,54.374344,1.4356561279296898,2.57239944083442
52.78,53.793777,-1.0137774658203114,-1.9207606400536401
41.9,42.472584,-0.5725837707519545,-1.3665483788829464
72.82,72.98108,-0.16107910156250682,-0.22120173243958646
47.58,48.14897,-0.5689715576171892,-1.1958208440882496
54.07000000000001,53.483784,0.5862162780761793,1.0841802812579604
48.7,49.488293,-0.788292694091794,-1.6186708297572774
57.4,57.304817,0.09518280029296733,0.16582369389018697
57.67,57.67018,-0.0001812744140607947,-0.0003143305255085741
39.75,40.20039,-0.4503898620605469,-1.1330562567560927
60.86,58.85612,2.0038789367675776,3.2926042339263515
45.43,46.028667,-0.5986674499511722,-1.3177799910877661
72.69,73.02138,-0.3313775634765648,-0.455877787146189
46.24,46.69329,-0.45329071044921676,-0.9802999793451919
63.43,63.96549,-0.5354884338378909,-0.8442195078636149
54.98,54.746544,0.23345611572265312,0.4246200722492782
44.445,46.279823,-1.834823303222656,-4.1283008284906195
74.26,74.13217,0.12782836914063012,0.17213623638652048
64.65,63.406326,1.2436737060546932,1.9237025615695176
43.16,45.471985,-2.3119848632812534,-5.356776791661848
85.83,85.24709,0.5829067993164045,0.6791410920615223
41.6,43.455513,-1.8555130004882798,-4.4603677896352885
39.91,40.18316,-0.27315887451172216,-0.6844371699116065
36.66,36.479145,0.18085494995116846,0.49333046904301275
43.94,44.727917,-0.7879167175292991,-1.7931650376178863
31.655,33.55959,-1.904589385986327,-6.0167094802916665
45.89999999999999,47.187313,-1.287313079833993,-2.8046036597690485
50.99,50.08599,0.9040090942382832,1.7729144817381508
31.620000000000005,33.848793,-2.2287930297851517,-7.048681308618441
94.06,90.86406,3.1959405517578148,3.397767969123766
44.61,45.07322,-0.4632192993164068,-1.0383754748182175
62.98,60.259407,2.7205929565429656,4.319772874790355
41.11,41.290203,-0.18020309448242244,-0.4383436985707187
72.28,69.74698,2.533021240234376,3.5044566134952633
48.68,47.73133,0.9486691284179685,1.9487862128553173
84.47,82.772354,1.6976458740234364,2.0097618965590582
61.37,59.886875,1.4831248474121068,2.416693575708175
72.79,72.716446,0.07355407714844375,0.10104970071224584
54.66,52.593697,2.0663034057617153,3.780284313504785
37.5,35.977707,1.5222930908203125,4.0594482421875
45.92,46.893337,-0.9733372497558577,-2.11963686793523
42.85,44.447075,-1.5970748901367173,-3.7271292651965395
49.28,52.51857,-3.2385699462890614,-6.571773429969687
46.36,47.54575,-1.1857496643066412,-2.557699879867647
31.4,35.813454,-4.413453674316408,-14.055584950052255
43.97,45.35363,-1.3836300659179699,-3.1467593038843984
64.87,64.627594,0.24240600585937955,0.37367967605885544
34.85,34.294132,0.5558677673339858,1.595029461503546
54.71,53.975525,0.7344750976562509,1.3424878407169638
43.900000000000006,44.5892,-0.6891990661621037,-1.5699295356767735
42.45,42.64032,-0.19031982421874716,-0.4483388085247283
42.14,42.644714,-0.5047143554687494,-1.1977084847383708
76.29,74.711784,1.5782156372070375,2.0687057769131436
69.31,68.9367,0.3733010864257835,0.5385962868644979
52.32,51.018864,1.3011363220214847,2.486881349429443
43.885,45.5176,-1.6326010131835957,-3.720180045992015
48.03,47.680397,0.3496029663085949,0.7278845852771078
40.01,40.510498,-0.500498046875002,-1.250932384091482
46.129999999999995,44.397617,1.7323826599121048,3.7554360717799806
50.48,51.592514,-1.1125140380859406,-2.203870915384193
47.2,47.65748,-0.4574783325195284,-0.969233755337984
50.81,51.28204,-0.4720396423339821,-0.929029014630943
45.97,46.586224,-0.616223602294923,-1.3404907598323321
